id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
litVdj5mLb8,32,2,,105,,,2255
8wbGhGo12pA,26,21,,114,,,160821
YhDqFiczD3E,3,1,,3,,,62
Iawu8TpgkrE,25,3,,205,,,2305
WUBXUhB3mMA,13,0,,52,,,1146
rnAisdXFWtI,3,2,,13,,,688
pcTNy4nRAwI,150,16,,1925,,,39898
4erEs3DnoMQ,1929,132,,7477,,,296580
UCH9ciCUcWavMsFcAJtLUSyw,18592,,false,,4415196,438,519746879
nM44bY_hYJs,17,3,,92,,,1114
UCgt7wmBmqwwVAqMvR2ZQC8w,0,,false,,279051,124,4282267
UCYzkb8WCMF0av77kjC6DCXw,53,,false,,464113,680,45614488
UCAMKnXQz5AH9iohPsXB6_CQ,1434,,false,,465153,122,36969096
UCSxsXbxXvH64bSjiKFi1L9A,10,,false,,1210585,462,128763721
UCRg9sy3WKmqttUca2-e3ukA,200,,true,,0,608,85881896
UCYoSQrCyKzok-JMWgixrJ6A,0,,false,,217495,0,0
UCLM7hSlT14X9FQbskiexIQw,1,,false,,71726,99,10539496
UCg-YCxiu2u54f9dcZXVPe3w,10,,false,,532016,1216,353521193
UCutXfzLC5wrV3SInT_tdY0w,7169,,false,,2893705,495,468542947
UC1ObK2qVPh0mgUnVs-KsFeg,0,,false,,30303,0,0
2fuvhip68iY,0,3,,4,,,9040
E0HesOv-iIE,35,10,,85,,,18284
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UCdegm7Y2AePJhkkmWCyYEwg,13,,false,,930496,824,169529966
UC3nBQvu2tmX7-pSiPDdAi3g,0,,false,,4912,802,806151
UCcsSowAamCLJv-xeF9geXoA,0,,false,,32740,247,2674392
UCj3AaZOhbslvMPuya_vKZ2A,16,,false,,1221,46,42836
UCzgvT2_xJdJzmkNh-GcF9iQ,141,,false,,40260,21,1424999
WzgmMVRGsCc,15,2,,18,,,3668
UCGXHiIMcPZ9IQNwmJOv12dQ,411,,false,,146686,504,24388908
UC4Cja_BOM8HmQ-tYUOEQJww,267,,false,,15795,39,1599909
UCd9nNqhZUYycEqo6HtnqM0A,0,,false,,8154,82,561907
UC8ycsZ_QwMmbrZJDa01187Q,0,,false,,58724,164,12055730
UCbVInSaIZ5Y-QKZA8L_tRng,8,,false,,2140,92,130099
sgi9DZd0h3w,1,0,,78,,,5412
UCsgsI12CJsr_xZ4FlstcAVA,74,,false,,84497,383,4102783
,,,,,,,
,,,,,,,
JWfagbEmkcA,5,6,,20,,,6468
R-OsXQjb3Q8,8,1,,6,,,7357
,,,,,,,
,,,,,,,
,,,,,,,
7v0ii5h5qik,284,154,,2756,,,35277
3ZPvDpSQcv8,163,8,,652,,,19400
ruTKV3yNjUo,1398,197,,20033,,,308500
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
qbuU_A7eUew,292,283,,13356,,,344442
uTPgYFr8wDo,325,61,,2519,,,43956
,,,,,,,
m1A4MrcvQQM,473,507,,5672,,,225234
,,,,,,,
