"","country","long","lat","program","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"14","Afghanistan",-66.03,33.83,"OUSDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62191,361113,431968,NA,NA,120000,NA
"15","Afghanistan",-66.03,33.83,"PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,3e+05,6e+05,1300000,1500000,1300000,1600000,1600000,9e+05,1100000,1300000,1400000,1500000,1200000,9e+05,746000,789000,323000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Afghanistan",-66.03,33.83,"S416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21021419,23632010,45007163,1528454,NA,8484351,4708302,17399050,NA,20546250,NA
"17","Afghanistan",-66.03,33.83,"T1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,1900000,6200000,3500000,NA,3e+06,6100000,6500000,NA,NA,NA,NA,5100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5329494,NA,NA,7888987,13061009,NA,18884710
"18","Afghanistan",-66.03,33.83,"T2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,6600000,6200000,7600000,1e+05,18700000,8e+05,1e+05,19100000,21300000,20800000,4200000,NA,1500000,8e+05,8e+05,18700000,3600000,1e+05,3900000,1500000,736000,642000,7195000,NA,NA,NA,NA,NA,NA,8897000,2581000,28946000,57382000,15083000,20083000,31200000,1.8e+07,NA,12390400,15200000,28720600,NA,6359700,13977700,30318600,160101900,48111300,50349700,57233800,61496700,59996000,177133500,75152900
"19","Albania",-20.03,41.11,"CSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,150000,825000,1712179,1350000,NA
"20","Albania",-20.03,41.11,"DDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4576386,5639826,1120683,2167567,NA,NA,NA,NA,NA,NA,15544975,7384862,9999114,4664191,477180,1139526
"21","Albania",-20.03,41.11,"DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403000,NA,3e+05,677856,3e+05,NA,NA,NA,NA
"22","Albania",-20.03,41.11,"ESFSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,250000,1.2e+07,NA,NA,29003,5000,NA,NA,NA,NA,NA
"23","Albania",-20.03,41.11,"FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5471693,2420366,2854490,NA,NA,NA,NA,NA,NA
